,neo,H,e,a,i,ma,n,moid,class,pha
916751,1.0,21.5,0.4159689398152634,1.454352057979902,23.74957482007002,242.8693808398728,0.5619526831678814,0.0277415,APO,1.0
483565,1.0,17.8,0.5203455334925982,2.687280705567661,23.99564184151935,235.8048345598127,0.2237353063596061,0.54493,AMO,0.0
753921,1.0,22.2,0.2542008625291881,1.669209973942656,11.429747399176,358.8199902510849,0.4570225375091619,0.297788,AMO,0.0
699543,1.0,22.1,0.4805926092496737,1.920001068499899,3.725030831202457,127.4164815704564,0.3704689959420732,0.0277115,APO,0.0
957368,1.0,25.033,0.471350508943287,2.014180800039403,6.148778615530145,37.21789446614166,0.3447913772714464,0.0816192,AMO,0.0
594783,1.0,24.7,0.3293346195536899,1.336964236358828,13.41633919741897,324.0124260427368,0.6375648838900819,0.0429328,APO,0.0
552591,1.0,20.3,0.3354746082971938,1.610351574573845,11.98310347640015,58.52879978418575,0.4823063951619733,0.107767,AMO,0.0
355769,1.0,18.3,0.245918714120863,1.481731702208227,16.59197181246115,314.3521284672632,0.5464490994574185,0.136091,AMO,0.0
958410,1.0,24.704,0.07271145368436692,1.076646539631846,11.05144144384491,325.5924269355007,0.8822554514477862,0.0167233,APO,0.0
920885,1.0,26.4,0.4668989480152642,1.606507489148505,2.343966050610612,332.884251562943,0.4840385398705868,0.00684483,APO,0.0
774736,1.0,24.5,0.5428901602833017,2.284157952316629,7.380654566866609,7.96510397576276,0.2855057603584746,0.0708113,AMO,0.0
6052,1.0,14.8,0.5282889036114057,2.147726402178328,21.58073267709335,300.9291092547029,0.3131379037347179,0.223054,APO,0.0
2058,1.0,16.0,0.5309192973039498,2.644147629104626,11.01363508200495,44.33041892431652,0.2292321486158354,0.248663,AMO,0.0
378841,1.0,19.7,0.6175451507767438,1.822027989165635,14.46032975147106,292.5496896839189,0.4007481329703328,0.0898013,APO,0.0
946651,1.0,23.7,0.5830018783748587,2.236061027425195,6.355186542882746,341.0648682649513,0.2947668194771447,0.077628,APO,0.0
558284,1.0,20.6,0.366111890323567,1.643872041078619,13.86057433241487,157.3568568006676,0.4676296721380722,0.0350522,AMO,1.0
659537,1.0,20.8,0.7422368355860934,1.345586594407923,29.76120184661849,358.1173977348558,0.6314465521832728,0.100701,APO,0.0
399307,1.0,20.7,0.2381477629743263,1.102428706380494,15.46209034316993,63.12857460775904,0.8514875528969726,0.141528,APO,0.0
956805,1.0,20.7,0.2600431962324333,1.236635987463871,50.96515227942748,86.65693432577227,0.7167063506334256,0.0106398,APO,1.0
915297,1.0,19.1,0.4056910031981691,1.474025928998906,53.56559539381377,15.58877988006146,0.5507397070898062,0.0513857,APO,0.0
935787,1.0,24.4,0.6284974829098604,2.577877180418049,2.475753037889596,187.0542054386055,0.2381281515024148,0.00981086,APO,0.0
786730,1.0,21.5,0.521050428437135,2.059435469647645,14.57964923187055,325.1572806493414,0.3334892134369758,0.17101,APO,0.0
858136,1.0,22.7,0.3259043402205267,1.296086138479513,11.86347709824769,112.719619823547,0.667964335736485,0.0598029,APO,0.0
784553,1.0,21.8,0.495906400182211,2.103307467890031,5.747448412134291,342.3715550462444,0.3231096494882184,0.0734257,AMO,0.0
737312,1.0,23.5,0.1193488553796872,1.199141314410689,17.86082327181744,277.1828284759427,0.7505826558621294,0.125093,AMO,0.0
720580,1.0,28.2,0.602761607283143,2.168059688148745,4.90307510174728,12.48353873918525,0.3087430728086356,0.00129424,APO,0.0
775609,1.0,24.0,0.2458009718870652,1.394011321020927,2.261731784514435,279.0018185591455,0.5988314800517479,0.0571182,AMO,0.0
100084,1.0,17.8,0.6188532437896024,2.652313175534919,2.642085724864565,152.9913729013395,0.2281743751385797,0.0253978,APO,1.0
575821,1.0,22.7,0.4284263352144578,0.7676137726920522,4.781466671591562,337.7155011596727,1.46551388120595,0.0104655,ATE,0.0
717037,1.0,24.3,0.4862155314279927,1.999046289256903,17.12306494970959,358.8858522472334,0.3487143327450163,0.0433157,AMO,0.0
563180,1.0,24.9,0.6177821480199388,2.469320198293999,1.464713198813868,7.815955371598171,0.2540024821709387,0.00980818,APO,0.0
932743,1.0,19.9,0.5802105297748472,2.577273915271718,20.68169124947461,223.8396228485997,0.2382117647454521,0.0858067,AMO,0.0
358470,1.0,19.1,0.59686638276874,1.875249688259174,5.787215980552959,318.9057359148289,0.3838092356348621,0.0385509,APO,1.0
559987,1.0,22.8,0.613234047011065,2.68350729399192,3.146371742738433,8.10599403439204,0.2242073800396563,0.0605658,AMO,0.0
937570,1.0,20.4,0.4004060003298883,1.961641954771175,16.9620989618939,271.0206596518178,0.3587355873172249,0.162773,AMO,0.0
573712,1.0,24.4,0.5543359243567986,2.098427890085742,5.24228694715088,11.2364929182419,0.3242373186009687,0.013032,APO,0.0
504927,1.0,18.4,0.4520430254785007,2.268662655543908,32.44267390060156,255.5062100092699,0.2884358183163053,0.262359,AMO,0.0
918255,1.0,26.6,0.3686211110087957,1.573221976008442,1.37278130504508,166.7401962043776,0.4994811090711535,0.00241311,APO,0.0
944726,1.0,27.2,0.6623784077015119,2.223112547557625,16.70213737261179,137.8549967553816,0.2973458620071806,0.000974389,APO,0.0
361517,1.0,17.0,0.60193679537538,2.059498216456051,6.952446058662775,249.3942023353379,0.3334739729107426,0.0982605,APO,0.0
944053,1.0,21.7,0.4030798185714639,1.764756040666465,7.624068110047562,265.5617712927716,0.4204138919352589,0.14628,AMO,0.0
743216,1.0,24.7,0.6133403784183625,1.860571908798999,7.336539494603611,337.1157937196344,0.3883599034619142,0.0149732,APO,0.0
956587,1.0,21.2,0.4886497949028918,2.435675533479392,12.25162465729049,50.99549827203384,0.2592835256484853,0.264008,AMO,0.0
958147,1.0,26.548,0.2971364905276656,1.378699817153701,29.97218983000659,1.848818663559623,0.6088348404805995,0.0152919,APO,0.0
503959,1.0,18.2,0.290531761490293,1.051198064985644,17.8253971364581,101.6930056003408,0.9144863864808424,0.2424,APO,0.0
760359,1.0,22.7,0.4405428202590256,1.748643160404952,4.589180471855556,267.2833007057762,0.4262381160393144,0.0589424,APO,0.0
563297,1.0,23.6,0.3890805307922567,2.021103185138155,4.533408933517157,20.74301903093401,0.3430215019151209,0.258691,AMO,0.0
690832,1.0,18.0,0.8525443490542255,2.212269719900835,16.20495203976015,355.8211629323061,0.2995345760398618,0.200531,APO,0.0
