Model,AUC,ExecutionTime,seed,fraction,drops,useclass,noise,n_jobs
RandomForest,0.878,2.112,4,0.125,0,True,0,2
RandomForest,0.881,2.47,4,0.125,0,True,0,4
RandomForest,0.876,3.289,4,0.125,0,True,0,8
RandomForest,0.871,3.452,4,0.125,0,True,0,16
RandomForest,0.88,3.572,4,0.125,0,True,0,32
RandomForest,0.827,2.895,4,0.125,0,True,0,64
RandomForest,0.859,1.586,4,0.062,0,True,0,1
RandomForest,0.879,2.338,4,0.062,0,True,0,2
RandomForest,0.869,2.78,4,0.062,0,True,0,4
RandomForest,0.887,3.084,4,0.062,0,True,0,8
RandomForest,0.844,3.613,4,0.062,0,True,0,16
RandomForest,0.851,3.696,4,0.062,0,True,0,32
RandomForest,0.88,2.824,4,0.062,0,True,0,64
RandomForest,0.871,1.292,4,0.031,0,True,0,1
RandomForest,0.88,2.349,4,0.031,0,True,0,2
RandomForest,0.87,3.099,4,0.031,0,True,0,4
RandomForest,0.889,3.253,4,0.031,0,True,0,8
RandomForest,0.88,3.333,4,0.031,0,True,0,16
RandomForest,0.882,3.415,4,0.031,0,True,0,32
RandomForest,0.876,2.548,4,0.031,0,True,0,64
RandomForest,0.88,1.2,4,0.016,0,True,0,1
RandomForest,0.843,2.35,4,0.016,0,True,0,2
RandomForest,0.835,3.306,4,0.016,0,True,0,4
RandomForest,0.88,3.605,4,0.016,0,True,0,8
RandomForest,0.886,3.175,4,0.016,0,True,0,16
RandomForest,0.889,3.088,4,0.016,0,True,0,32
RandomForest,0.869,3.11,4,0.016,0,True,0,64
RandomForest,0.883,5.855,5,1.0,0,True,0,1
RandomForest,0.886,3.716,5,1.0,0,True,0,2
RandomForest,0.877,2.574,5,1.0,0,True,0,4
RandomForest,0.881,3.671,5,1.0,0,True,0,8
RandomForest,0.886,4.892,5,1.0,0,True,0,16
RandomForest,0.868,4.638,5,1.0,0,True,0,32
RandomForest,0.876,3.645,5,1.0,0,True,0,64
RandomForest,0.883,3.598,5,0.5,0,True,0,1
RandomForest,0.871,2.609,5,0.5,0,True,0,2
RandomForest,0.89,2.431,5,0.5,0,True,0,4
RandomForest,0.88,3.804,5,0.5,0,True,0,8
RandomForest,0.876,4.369,5,0.5,0,True,0,16
RandomForest,0.888,3.97,5,0.5,0,True,0,32
RandomForest,0.881,3.577,5,0.5,0,True,0,64
RandomForest,0.879,2.43,5,0.25,0,True,0,1
RandomForest,0.871,2.149,5,0.25,0,True,0,2
RandomForest,0.896,3.189,5,0.25,0,True,0,4
RandomForest,0.893,3.511,5,0.25,0,True,0,8
RandomForest,0.888,3.526,5,0.25,0,True,0,16
RandomForest,0.899,3.783,5,0.25,0,True,0,32
RandomForest,0.872,2.461,5,0.25,0,True,0,64
RandomForest,0.897,1.908,5,0.125,0,True,0,1
RandomForest,0.894,2.008,5,0.125,0,True,0,2
RandomForest,0.881,2.91,5,0.125,0,True,0,4
RandomForest,0.883,3.523,5,0.125,0,True,0,8
RandomForest,0.888,3.489,5,0.125,0,True,0,16
RandomForest,0.893,3.499,5,0.125,0,True,0,32
RandomForest,0.896,2.726,5,0.125,0,True,0,64
RandomForest,0.895,1.54,5,0.062,0,True,0,1
RandomForest,0.886,2.085,5,0.062,0,True,0,2
RandomForest,0.891,3.139,5,0.062,0,True,0,4
RandomForest,0.873,3.372,5,0.062,0,True,0,8
RandomForest,0.867,3.306,5,0.062,0,True,0,16
RandomForest,0.888,3.464,5,0.062,0,True,0,32
RandomForest,0.898,2.534,5,0.062,0,True,0,64
RandomForest,0.908,1.336,5,0.031,0,True,0,1
RandomForest,0.888,2.323,5,0.031,0,True,0,2
RandomForest,0.826,2.502,5,0.031,0,True,0,4
RandomForest,0.814,3.507,5,0.031,0,True,0,8
RandomForest,0.875,3.127,5,0.031,0,True,0,16
RandomForest,0.89,3.272,5,0.031,0,True,0,32
RandomForest,0.907,2.599,5,0.031,0,True,0,64
RandomForest,0.889,1.223,5,0.016,0,True,0,1
RandomForest,0.902,2.592,5,0.016,0,True,0,2
RandomForest,0.905,3.133,5,0.016,0,True,0,4
RandomForest,0.903,3.437,5,0.016,0,True,0,8
RandomForest,0.901,3.265,5,0.016,0,True,0,16
RandomForest,0.869,3.064,5,0.016,0,True,0,32
RandomForest,0.892,2.958,5,0.016,0,True,0,64
RandomForest,0.876,6.208,6,1.0,0,True,0,1
RandomForest,0.887,3.778,6,1.0,0,True,0,2
RandomForest,0.903,2.984,6,1.0,0,True,0,4
RandomForest,0.879,3.216,6,1.0,0,True,0,8
RandomForest,0.894,4.957,6,1.0,0,True,0,16
RandomForest,0.886,4.706,6,1.0,0,True,0,32
RandomForest,0.904,4.054,6,1.0,0,True,0,64
RandomForest,0.863,3.611,6,0.5,0,True,0,1
RandomForest,0.881,2.861,6,0.5,0,True,0,2
RandomForest,0.894,2.139,6,0.5,0,True,0,4
RandomForest,0.886,3.604,6,0.5,0,True,0,8
RandomForest,0.872,4.157,6,0.5,0,True,0,16
RandomForest,0.873,4.331,6,0.5,0,True,0,32
RandomForest,0.863,3.165,6,0.5,0,True,0,64
RandomForest,0.893,2.443,6,0.25,0,True,0,1
RandomForest,0.905,2.117,6,0.25,0,True,0,2
RandomForest,0.907,3.195,6,0.25,0,True,0,4
RandomForest,0.894,3.465,6,0.25,0,True,0,8
RandomForest,0.905,3.555,6,0.25,0,True,0,16
RandomForest,0.9,3.697,6,0.25,0,True,0,32
RandomForest,0.882,2.7,6,0.25,0,True,0,64
RandomForest,0.89,1.914,6,0.125,0,True,0,1
RandomForest,0.869,1.853,6,0.125,0,True,0,2
RandomForest,0.883,2.438,6,0.125,0,True,0,4
RandomForest,0.892,3.645,6,0.125,0,True,0,8
RandomForest,0.893,3.641,6,0.125,0,True,0,16
RandomForest,0.87,3.656,6,0.125,0,True,0,32
RandomForest,0.891,2.709,6,0.125,0,True,0,64
RandomForest,0.904,1.566,6,0.062,0,True,0,1
RandomForest,0.899,2.343,6,0.062,0,True,0,2
RandomForest,0.888,2.448,6,0.062,0,True,0,4
RandomForest,0.889,3.187,6,0.062,0,True,0,8
RandomForest,0.896,3.496,6,0.062,0,True,0,16
RandomForest,0.881,3.462,6,0.062,0,True,0,32
RandomForest,0.899,2.751,6,0.062,0,True,0,64
RandomForest,0.884,1.373,6,0.031,0,True,0,1
RandomForest,0.906,1.948,6,0.031,0,True,0,2
RandomForest,0.881,2.664,6,0.031,0,True,0,4
RandomForest,0.91,3.451,6,0.031,0,True,0,8
RandomForest,0.909,3.51,6,0.031,0,True,0,16
RandomForest,0.906,3.323,6,0.031,0,True,0,32
RandomForest,0.888,3.131,6,0.031,0,True,0,64
RandomForest,0.889,1.2,6,0.016,0,True,0,1
RandomForest,0.88,2.989,6,0.016,0,True,0,2
RandomForest,0.891,3.089,6,0.016,0,True,0,4
RandomForest,0.912,3.456,6,0.016,0,True,0,8
RandomForest,0.903,3.21,6,0.016,0,True,0,16
RandomForest,0.91,2.996,6,0.016,0,True,0,32
RandomForest,0.869,2.239,6,0.016,0,True,0,64
RandomForest,0.891,6.443,7,1.0,0,True,0,1
RandomForest,0.886,3.961,7,1.0,0,True,0,2
RandomForest,0.884,2.67,7,1.0,0,True,0,4
RandomForest,0.898,3.314,7,1.0,0,True,0,8
RandomForest,0.872,4.804,7,1.0,0,True,0,16
RandomForest,0.886,4.592,7,1.0,0,True,0,32
RandomForest,0.883,4.027,7,1.0,0,True,0,64
RandomForest,0.884,3.714,7,0.5,0,True,0,1
RandomForest,0.872,2.68,7,0.5,0,True,0,2
RandomForest,0.887,2.434,7,0.5,0,True,0,4
RandomForest,0.868,3.657,7,0.5,0,True,0,8
RandomForest,0.865,4.381,7,0.5,0,True,0,16
RandomForest,0.878,4.064,7,0.5,0,True,0,32
RandomForest,0.896,3.635,7,0.5,0,True,0,64
RandomForest,0.874,2.521,7,0.25,0,True,0,1
RandomForest,0.887,2.235,7,0.25,0,True,0,2
RandomForest,0.894,3.026,7,0.25,0,True,0,4
RandomForest,0.889,4.081,7,0.25,0,True,0,8
RandomForest,0.904,3.514,7,0.25,0,True,0,16
RandomForest,0.894,3.827,7,0.25,0,True,0,32
RandomForest,0.891,2.771,7,0.25,0,True,0,64
RandomForest,0.891,1.969,7,0.125,0,True,0,1
RandomForest,0.898,2.149,7,0.125,0,True,0,2
RandomForest,0.884,2.849,7,0.125,0,True,0,4
RandomForest,0.85,3.637,7,0.125,0,True,0,8
RandomForest,0.871,3.597,7,0.125,0,True,0,16
RandomForest,0.835,3.681,7,0.125,0,True,0,32
RandomForest,0.887,2.516,7,0.125,0,True,0,64
RandomForest,0.892,1.602,7,0.062,0,True,0,1
RandomForest,0.882,2.595,7,0.062,0,True,0,2
RandomForest,0.888,2.634,7,0.062,0,True,0,4
RandomForest,0.867,3.121,7,0.062,0,True,0,8
RandomForest,0.899,3.673,7,0.062,0,True,0,16
RandomForest,0.872,3.153,7,0.062,0,True,0,32
RandomForest,0.777,2.503,7,0.062,0,True,0,64
RandomForest,0.892,1.339,7,0.031,0,True,0,1
RandomForest,0.89,2.805,7,0.031,0,True,0,2
RandomForest,0.888,3.046,7,0.031,0,True,0,4
RandomForest,0.888,3.17,7,0.031,0,True,0,8
RandomForest,0.902,3.466,7,0.031,0,True,0,16
RandomForest,0.889,3.762,7,0.031,0,True,0,32
RandomForest,0.881,2.397,7,0.031,0,True,0,64
RandomForest,0.898,1.267,7,0.016,0,True,0,1
RandomForest,0.905,2.867,7,0.016,0,True,0,2
RandomForest,0.893,3.084,7,0.016,0,True,0,4
RandomForest,0.908,3.431,7,0.016,0,True,0,8
RandomForest,0.883,3.255,7,0.016,0,True,0,16
RandomForest,0.896,2.659,7,0.016,0,True,0,32
RandomForest,0.896,1.968,7,0.016,0,True,0,64
RandomForest,0.888,5.941,8,1.0,0,True,0,1
RandomForest,0.879,3.743,8,1.0,0,True,0,2
RandomForest,0.879,2.52,8,1.0,0,True,0,4
RandomForest,0.893,3.467,8,1.0,0,True,0,8
RandomForest,0.892,4.723,8,1.0,0,True,0,16
RandomForest,0.889,4.903,8,1.0,0,True,0,32
RandomForest,0.868,4.159,8,1.0,0,True,0,64
RandomForest,0.886,3.663,8,0.5,0,True,0,1
RandomForest,0.893,2.838,8,0.5,0,True,0,2
RandomForest,0.877,2.402,8,0.5,0,True,0,4
RandomForest,0.872,3.65,8,0.5,0,True,0,8
RandomForest,0.877,4.576,8,0.5,0,True,0,16
RandomForest,0.88,3.975,8,0.5,0,True,0,32
RandomForest,0.869,3.978,8,0.5,0,True,0,64
RandomForest,0.887,2.494,8,0.25,0,True,0,1
RandomForest,0.874,2.287,8,0.25,0,True,0,2
RandomForest,0.894,2.156,8,0.25,0,True,0,4
RandomForest,0.895,3.429,8,0.25,0,True,0,8
RandomForest,0.896,3.81,8,0.25,0,True,0,16
RandomForest,0.872,3.873,8,0.25,0,True,0,32
RandomForest,0.897,2.849,8,0.25,0,True,0,64
RandomForest,0.882,1.919,8,0.125,0,True,0,1
RandomForest,0.869,2.143,8,0.125,0,True,0,2
RandomForest,0.879,2.488,8,0.125,0,True,0,4
RandomForest,0.852,2.869,8,0.125,0,True,0,8
RandomForest,0.897,3.725,8,0.125,0,True,0,16
RandomForest,0.886,3.201,8,0.125,0,True,0,32
RandomForest,0.89,2.443,8,0.125,0,True,0,64
RandomForest,0.839,1.532,8,0.062,0,True,0,1
RandomForest,0.883,1.831,8,0.062,0,True,0,2
RandomForest,0.896,2.755,8,0.062,0,True,0,4
RandomForest,0.892,3.649,8,0.062,0,True,0,8
RandomForest,0.896,3.093,8,0.062,0,True,0,16
RandomForest,0.888,3.419,8,0.062,0,True,0,32
RandomForest,0.845,3.258,8,0.062,0,True,0,64
RandomForest,0.903,1.333,8,0.031,0,True,0,1
RandomForest,0.852,2.644,8,0.031,0,True,0,2
RandomForest,0.873,2.947,8,0.031,0,True,0,4
RandomForest,0.864,3.201,8,0.031,0,True,0,8
RandomForest,0.898,3.361,8,0.031,0,True,0,16
RandomForest,0.884,3.533,8,0.031,0,True,0,32
RandomForest,0.903,2.943,8,0.031,0,True,0,64
RandomForest,0.902,1.18,8,0.016,0,True,0,1
RandomForest,0.906,2.959,8,0.016,0,True,0,2
RandomForest,0.894,2.88,8,0.016,0,True,0,4
RandomForest,0.903,3.239,8,0.016,0,True,0,8
RandomForest,0.893,3.395,8,0.016,0,True,0,16
RandomForest,0.876,3.089,8,0.016,0,True,0,32
RandomForest,0.872,2.335,8,0.016,0,True,0,64
RandomForest,0.868,6.136,9,1.0,0,True,0,1
RandomForest,0.862,3.746,9,1.0,0,True,0,2
RandomForest,0.847,2.558,9,1.0,0,True,0,4
RandomForest,0.859,3.514,9,1.0,0,True,0,8
RandomForest,0.888,4.78,9,1.0,0,True,0,16
RandomForest,0.881,4.771,9,1.0,0,True,0,32
RandomForest,0.868,3.772,9,1.0,0,True,0,64
RandomForest,0.88,3.987,9,0.5,0,True,0,1
RandomForest,0.853,2.728,9,0.5,0,True,0,2
RandomForest,0.852,2.637,9,0.5,0,True,0,4
RandomForest,0.857,3.408,9,0.5,0,True,0,8
RandomForest,0.811,4.432,9,0.5,0,True,0,16
RandomForest,0.881,4.166,9,0.5,0,True,0,32
RandomForest,0.866,4.203,9,0.5,0,True,0,64
RandomForest,0.893,2.503,9,0.25,0,True,0,1
RandomForest,0.888,2.262,9,0.25,0,True,0,2
RandomForest,0.847,3.233,9,0.25,0,True,0,4
RandomForest,0.87,3.196,9,0.25,0,True,0,8
RandomForest,0.902,3.698,9,0.25,0,True,0,16
RandomForest,0.889,3.497,9,0.25,0,True,0,32
RandomForest,0.867,2.803,9,0.25,0,True,0,64
RandomForest,0.895,1.892,9,0.125,0,True,0,1
RandomForest,0.9,2.27,9,0.125,0,True,0,2
RandomForest,0.886,2.644,9,0.125,0,True,0,4
RandomForest,0.893,3.296,9,0.125,0,True,0,8
RandomForest,0.897,3.824,9,0.125,0,True,0,16
RandomForest,0.888,3.584,9,0.125,0,True,0,32
RandomForest,0.881,2.606,9,0.125,0,True,0,64
RandomForest,0.901,1.561,9,0.062,0,True,0,1
RandomForest,0.884,3.086,9,0.062,0,True,0,2
RandomForest,0.881,3.056,9,0.062,0,True,0,4
RandomForest,0.875,3.661,9,0.062,0,True,0,8
RandomForest,0.896,3.646,9,0.062,0,True,0,16
RandomForest,0.897,3.612,9,0.062,0,True,0,32
RandomForest,0.892,2.946,9,0.062,0,True,0,64
RandomForest,0.888,1.218,9,0.031,0,True,0,1
RandomForest,0.885,2.313,9,0.031,0,True,0,2
RandomForest,0.898,3.082,9,0.031,0,True,0,4
RandomForest,0.893,3.033,9,0.031,0,True,0,8
RandomForest,0.896,3.367,9,0.031,0,True,0,16
RandomForest,0.906,3.488,9,0.031,0,True,0,32
RandomForest,0.902,2.686,9,0.031,0,True,0,64
RandomForest,0.892,1.196,9,0.016,0,True,0,1
RandomForest,0.884,2.596,9,0.016,0,True,0,2
RandomForest,0.905,3.016,9,0.016,0,True,0,4
RandomForest,0.906,3.275,9,0.016,0,True,0,8
RandomForest,0.908,3.194,9,0.016,0,True,0,16
RandomForest,0.903,2.907,9,0.016,0,True,0,32
RandomForest,0.898,2.696,9,0.016,0,True,0,64
RandomForest,0.883,5.957,10,1.0,0,True,0,1
RandomForest,0.89,3.693,10,1.0,0,True,0,2
RandomForest,0.896,2.643,10,1.0,0,True,0,4
RandomForest,0.891,4.171,10,1.0,0,True,0,8
RandomForest,0.894,4.864,10,1.0,0,True,0,16
RandomForest,0.865,4.637,10,1.0,0,True,0,32
RandomForest,0.878,3.698,10,1.0,0,True,0,64
RandomForest,0.83,3.595,10,0.5,0,True,0,1
RandomForest,0.877,2.725,10,0.5,0,True,0,2
RandomForest,0.887,2.848,10,0.5,0,True,0,4
RandomForest,0.899,3.872,10,0.5,0,True,0,8
RandomForest,0.891,4.205,10,0.5,0,True,0,16
RandomForest,0.89,4.218,10,0.5,0,True,0,32
RandomForest,0.832,3.09,10,0.5,0,True,0,64
RandomForest,0.916,2.468,10,0.25,0,True,0,1
RandomForest,0.891,2.128,10,0.25,0,True,0,2
RandomForest,0.884,2.653,10,0.25,0,True,0,4
RandomForest,0.876,3.591,10,0.25,0,True,0,8
RandomForest,0.891,3.829,10,0.25,0,True,0,16
RandomForest,0.895,3.989,10,0.25,0,True,0,32
RandomForest,0.9,2.875,10,0.25,0,True,0,64
RandomForest,0.896,1.95,10,0.125,0,True,0,1
RandomForest,0.874,2.086,10,0.125,0,True,0,2
RandomForest,0.881,3.018,10,0.125,0,True,0,4
RandomForest,0.884,3.409,10,0.125,0,True,0,8
RandomForest,0.901,3.635,10,0.125,0,True,0,16
RandomForest,0.861,3.544,10,0.125,0,True,0,32
RandomForest,0.905,2.6,10,0.125,0,True,0,64
RandomForest,0.897,1.59,10,0.062,0,True,0,1
RandomForest,0.886,2.423,10,0.062,0,True,0,2
RandomForest,0.91,3.193,10,0.062,0,True,0,4
RandomForest,0.896,3.17,10,0.062,0,True,0,8
RandomForest,0.88,3.58,10,0.062,0,True,0,16
RandomForest,0.9,3.405,10,0.062,0,True,0,32
RandomForest,0.871,2.46,10,0.062,0,True,0,64
RandomForest,0.898,1.341,10,0.031,0,True,0,1
RandomForest,0.91,2.356,10,0.031,0,True,0,2
RandomForest,0.901,3.354,10,0.031,0,True,0,4
RandomForest,0.866,3.335,10,0.031,0,True,0,8
RandomForest,0.897,3.331,10,0.031,0,True,0,16
RandomForest,0.866,3.264,10,0.031,0,True,0,32
RandomForest,0.875,3.026,10,0.031,0,True,0,64
RandomForest,0.911,1.193,10,0.016,0,True,0,1
RandomForest,0.903,3.116,10,0.016,0,True,0,2
RandomForest,0.909,2.812,10,0.016,0,True,0,4
RandomForest,0.911,3.32,10,0.016,0,True,0,8
RandomForest,0.907,3.411,10,0.016,0,True,0,16
RandomForest,0.901,2.848,10,0.016,0,True,0,32
RandomForest,0.896,2.375,10,0.016,0,True,0,64
RandomForest,0.858,6.113,11,1.0,0,True,0,1
RandomForest,0.885,3.58,11,1.0,0,True,0,2
RandomForest,0.877,2.605,11,1.0,0,True,0,4
RandomForest,0.867,3.744,11,1.0,0,True,0,8
RandomForest,0.882,4.674,11,1.0,0,True,0,16
